timestamp,temperature_c,irradiance_w_m2,wind_speed_ms
2024-07-01T00:00,-25.0,0.0,2.0
2024-07-01T01:00,-25.0,0.0,2.0
2024-07-01T02:00,-25.0,0.0,2.0
2024-07-01T03:00,-25.0,0.0,2.0
2024-07-01T04:00,-25.0,0.0,2.0
2024-07-01T05:00,-25.0,0.0,2.0
2024-07-01T06:00,-20.0,400.0,8.0
2024-07-01T07:00,-20.0,400.0,8.0
2024-07-01T08:00,-20.0,400.0,8.0
2024-07-01T09:00,-20.0,400.0,8.0
2024-07-01T10:00,-20.0,400.0,8.0
2024-07-01T11:00,-20.0,400.0,8.0
2024-07-01T12:00,-15.0,900.0,14.0
2024-07-01T13:00,-15.0,900.0,14.0
2024-07-01T14:00,-15.0,900.0,14.0
2024-07-01T15:00,-15.0,900.0,14.0
2024-07-01T16:00,-15.0,900.0,14.0
2024-07-01T17:00,-15.0,900.0,14.0
2024-07-01T18:00,-18.0,50.0,5.0
2024-07-01T19:00,-18.0,50.0,5.0
2024-07-01T20:00,-18.0,50.0,5.0
2024-07-01T21:00,-18.0,50.0,5.0
2024-07-01T22:00,-18.0,50.0,5.0
2024-07-01T23:00,-18.0,50.0,5.0
