timestamp,temperature_c,irradiance_w_m2,wind_speed_ms,weather_quality_flag,scenario_name,weather_source,latitude,longitude
2015-01-01 00:00:00+00:00,-5.4,265.85,7.62,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 01:00:00+00:00,-5.15,359.1,7.83,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 02:00:00+00:00,-5.0,546.6,8.15,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 03:00:00+00:00,-4.7,632.05,8.0,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 04:00:00+00:00,-4.26,494.92,7.42,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 05:00:00+00:00,-3.77,567.85,6.7,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 06:00:00+00:00,-3.39,675.53,5.9,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 07:00:00+00:00,-3.2,675.28,5.03,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 08:00:00+00:00,-3.13,648.03,4.08,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 09:00:00+00:00,-3.06,551.88,3.19,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 10:00:00+00:00,-2.99,454.48,2.41,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 11:00:00+00:00,-2.94,360.02,1.76,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 12:00:00+00:00,-2.95,310.17,1.09,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 13:00:00+00:00,-3.1,242.85,0.39,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 14:00:00+00:00,-3.19,172.95,0.02,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 15:00:00+00:00,-3.53,113.05,0.3,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 16:00:00+00:00,-4.07,68.18,0.71,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 17:00:00+00:00,-5.1,37.15,1.44,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 18:00:00+00:00,-6.5,24.02,2.49,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 19:00:00+00:00,-7.46,26.73,3.62,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 20:00:00+00:00,-8.01,41.65,4.95,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 21:00:00+00:00,-8.04,71.3,6.7,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 22:00:00+00:00,-7.7,133.5,8.16,good,baseline,NASA_POWER,-69.4069,76.1956
2015-01-01 23:00:00+00:00,-7.39,237.82,8.99,good,baseline,NASA_POWER,-69.4069,76.1956
